CUSTOMER_ID-1,Month,Customer Cohort Month,Grand Total
A00000216,1/31/2023,10/31/2018,2887000
A00000405,2/28/2022,3/31/2021,52000
A00001444,4/30/2023,6/30/2022,4000
A00001445,7/31/2022,10/31/2021,5581000
A00001401,6/30/2022,5/31/2021,985000
A00000180,8/31/2021,11/30/2018,1234000
A00000072,9/30/2022,1/31/2018,653000
A00000242,5/31/2022,5/31/2019,10646000
A00000416,11/30/2022,4/30/2021,187000
A00000399,10/31/2022,12/31/2021,12000
A00001408,1/31/2022,7/31/2021,51000
A00001528,9/30/2022,4/30/2022,24000
A00001460,3/31/2022,12/31/2021,56000
A00001394,2/28/2022,5/31/2021,528000
A00000140,6/30/2021,6/30/2018,1562000
A00000212,4/30/2022,10/31/2019,83000
A00001420,11/30/2022,8/31/2021,509000
A00000379,1/31/2023,1/31/2021,63000
A00000346,5/31/2021,7/31/2020,85000
A00000302,11/30/2021,2/29/2020,328000
A00000385,12/31/2022,1/31/2021,501000
A00001551,10/31/2022,5/31/2022,46000
A00000216,6/30/2021,10/31/2018,955000
A00001550,9/30/2022,5/31/2022,40000
A00000399,4/30/2023,12/31/2021,1000
A00000274,6/30/2021,10/31/2019,857000
A00000289,4/30/2023,12/31/2019,167000
A00000341,4/30/2022,10/31/2020,19153000
A00000399,7/31/2022,12/31/2021,2000
A00001547,2/28/2023,6/30/2022,12000
A00000239,8/31/2022,3/31/2019,1376000
A00001470,12/31/2022,1/31/2022,1432000
A00000005,9/30/2022,1/31/2018,11468000
A00001550,7/31/2022,5/31/2022,25000
A00000416,3/31/2022,4/30/2021,313000
A00001539,10/31/2022,4/30/2022,56000
A00000124,11/30/2022,1/31/2018,114000
A00000242,10/31/2022,5/31/2019,6637000
A00001556,7/31/2022,4/30/2022,200000
A00001556,4/30/2022,4/30/2022,16000
A00000072,2/28/2023,1/31/2018,872000
A00000372,1/31/2022,12/31/2020,4350000
A00000399,12/31/2021,12/31/2021,4000
A00000305,11/30/2021,7/31/2020,436000
A00000242,6/30/2021,5/31/2019,5085000
A00000372,4/30/2021,12/31/2020,2185000
A00001648,3/31/2023,10/31/2022,583000
A00000303,3/31/2021,3/31/2020,1103000
A00001515,3/31/2022,3/31/2022,2000
A00001566,6/30/2022,6/30/2022,32000
A00000355,11/30/2022,9/30/2020,7281000
A00000377,5/31/2022,1/31/2021,1000
A00000316,1/31/2022,4/30/2020,293100000
A00000242,4/30/2022,5/31/2019,9554000
A00001496,2/28/2022,2/28/2022,32000
A00001592,12/31/2022,7/31/2022,3000
A00000406,1/31/2022,3/31/2021,167000
A00000354,10/31/2021,9/30/2020,395000
A00001557,3/31/2023,7/31/2022,2000
A00000337,11/30/2022,6/30/2020,8000
A00000421,12/31/2021,5/31/2021,234000
A00000390,12/31/2021,2/28/2021,9000
A00001576,12/31/2022,6/30/2022,8000
A00000172,5/31/2021,8/31/2018,91000
A00000346,9/30/2022,7/31/2020,76000
A00001528,3/31/2023,4/30/2022,85000
A00000381,5/31/2022,1/31/2021,1531000
A00000124,4/30/2022,1/31/2018,94000
A00000180,11/30/2021,11/30/2018,1361000
A00000219,5/31/2022,1/31/2019,256000
A00000230,7/31/2022,1/31/2018,5398000
A00000374,7/31/2021,11/30/2020,133000
A00001576,4/30/2023,6/30/2022,6000
A00000196,2/28/2022,3/31/2019,461000
A00000372,6/30/2022,12/31/2020,4420000
A00000372,12/31/2021,12/31/2020,3798000
A00000302,5/31/2023,2/29/2020,1815000
A00000230,8/31/2022,1/31/2018,6862000
A00000005,3/31/2023,1/31/2018,10614000
A00001465,6/30/2022,1/31/2022,44000
A00000072,5/31/2023,1/31/2018,736000
A00001425,8/31/2022,8/31/2021,23000
A00001460,6/30/2022,12/31/2021,189000
A00000180,4/30/2021,11/30/2018,1077000
A00001494,6/30/2022,4/30/2022,98000
A00000323,10/31/2021,12/31/2020,2000
A00001420,1/31/2022,8/31/2021,311000
A00000198,5/31/2023,1/31/2019,8000
A00000387,10/31/2021,2/28/2021,185000
A00001505,12/31/2022,2/28/2022,398000
A00001477,3/31/2022,1/31/2022,18000
A00000390,10/31/2022,2/28/2021,7000
A00001496,5/31/2022,2/28/2022,16000
A00001657,2/28/2023,11/30/2022,143000
A00000390,8/31/2022,2/28/2021,1000
A00001421,5/31/2023,8/31/2021,413000
A00001412,10/31/2021,7/31/2021,7000
A00000003,3/31/2022,1/31/2018,1114000
A00001397,7/31/2021,5/31/2021,2000
A00000162,2/28/2023,9/30/2018,150000
A00000407,3/31/2021,3/31/2021,7000
A00001498,5/31/2023,2/28/2022,292000
A00001401,3/31/2023,5/31/2021,2263000
A00000148,11/30/2021,7/31/2018,13666000
A00000303,9/30/2021,3/31/2020,1199000
A00001498,4/30/2023,2/28/2022,101000
A00000206,8/31/2022,6/30/2018,2891000
A00001444,2/28/2023,6/30/2022,40000
A00001394,10/31/2021,5/31/2021,515000
A00000251,9/30/2022,7/31/2019,1386000
A00001432,10/31/2022,9/30/2021,2000
A00000372,7/31/2022,12/31/2020,4040000
A00001489,11/30/2022,1/31/2022,19000
A00001444,3/31/2023,6/30/2022,40000
A00001528,4/30/2023,4/30/2022,31000
A00000172,12/31/2022,8/31/2018,391000
A00000107,4/30/2023,1/31/2018,26000
A00000242,10/31/2021,5/31/2019,6137000
A00001477,4/30/2023,1/31/2022,5000
A00001515,1/31/2023,3/31/2022,1000
A00000206,1/31/2022,6/30/2018,2047000
A00000381,12/31/2022,1/31/2021,1330000
A00001422,12/31/2022,8/31/2021,14000
A00001551,9/30/2022,5/31/2022,6000
A00000293,10/31/2021,12/31/2019,32000
A00000400,3/31/2023,3/31/2021,4100000
A00001522,7/31/2022,3/31/2022,30000
A00000072,10/31/2022,1/31/2018,761000
A00000003,6/30/2021,1/31/2018,740000
A00000407,9/30/2021,3/31/2021,95000
A00001498,1/31/2023,2/28/2022,154000
A00000346,8/31/2021,7/31/2020,87000
A00000374,11/30/2022,11/30/2020,238000
A00000150,4/30/2023,7/31/2018,225000
A00000148,9/30/2021,7/31/2018,11554000
A00000140,8/31/2022,6/30/2018,2586000
A00000400,9/30/2021,3/31/2021,3114000
A00001608,2/28/2023,8/31/2022,292000
A00001420,9/30/2021,8/31/2021,5000
A00000050,9/30/2022,1/31/2018,5000
A00000239,11/30/2022,3/31/2019,1242000
A00000337,2/28/2023,6/30/2020,17000
A00000251,5/31/2021,7/31/2019,453000
A00000377,5/31/2021,1/31/2021,1000
A00000323,3/31/2021,12/31/2020,3000
A00000354,9/30/2021,9/30/2020,454000
A00001456,9/30/2022,11/30/2021,4831000
A00000350,8/31/2021,7/31/2020,60000
A00000416,6/30/2022,4/30/2021,294000
A00000423,9/30/2022,5/31/2021,239000
A00000372,7/31/2021,12/31/2020,3248000
A00001410,4/30/2022,7/31/2021,25000
A00000350,10/31/2022,7/31/2020,52000
A00000285,8/31/2022,11/30/2019,419000
A00000372,2/28/2023,12/31/2020,3663000
A00000335,5/31/2021,5/31/2020,1000
A00000148,10/31/2022,7/31/2018,21909000
A00000239,10/31/2022,3/31/2019,1299000
A00000162,3/31/2021,9/30/2018,178000
