Customer Cohort Month,Month,Volume
2/28/2018,9/30/2020,493000
1/31/2020,8/31/2020,136000
12/31/2021,5/31/2023,94000
2/28/2018,1/31/2021,311000
2/28/2021,1/31/2023,3000
8/31/2019,11/30/2022,6000
5/31/2019,11/30/2019,7304000
6/30/2018,7/31/2021,5192000
1/31/2019,2/28/2022,306000
3/31/2019,1/31/2022,1298000
10/31/2018,11/30/2018,295000
6/30/2019,6/30/2019,61000
8/31/2018,7/31/2021,497000
6/30/2018,10/31/2019,3167000
12/31/2020,2/28/2022,7000
2/29/2020,8/31/2021,102000
8/31/2021,8/31/2022,781000
4/30/2020,8/31/2021,350000
5/31/2018,9/30/2018,1000
9/30/2018,9/30/2018,75000
12/31/2019,8/31/2022,6406000
4/30/2020,12/31/2020,257434000
1/31/2020,12/31/2021,376000
1/31/2020,12/31/2022,888000
6/30/2019,1/31/2020,2765000
1/31/2018,8/31/2019,28665000
5/31/2020,3/31/2021,921000
1/31/2019,11/30/2021,76000
12/31/2019,2/28/2021,669000
12/31/2018,4/30/2021,600000
7/31/2018,9/30/2021,6035000
3/31/2022,1/31/2023,7000
6/30/2020,12/31/2021,34000
7/31/2018,12/31/2022,7655000
9/30/2019,12/31/2020,56000
9/30/2018,3/31/2019,78000
4/30/2023,4/30/2023,10000
1/31/2020,1/31/2021,79000
3/31/2021,10/31/2021,77000
9/30/2018,12/31/2019,9878000
2/28/2021,6/30/2022,251000
6/30/2020,9/30/2022,7000
7/31/2018,1/31/2023,8082000
12/31/2019,6/30/2021,1256000
2/28/2018,12/31/2022,332000
4/30/2019,1/31/2023,11000
6/30/2019,4/30/2022,1592000
11/30/2019,3/31/2020,17307000
5/31/2018,11/30/2019,4000
11/30/2019,1/31/2021,54553000
7/31/2019,10/31/2020,542000
1/31/2020,7/31/2022,61000
3/31/2022,2/28/2023,144000
2/28/2022,7/31/2022,17000
5/31/2021,1/31/2023,95000
5/31/2019,8/31/2020,8841000
3/31/2020,10/31/2022,54000
8/31/2021,2/28/2023,3000
10/31/2018,8/31/2022,124000
9/30/2018,9/30/2019,6295000
12/31/2022,4/30/2023,1000
3/31/2018,4/30/2021,15000
12/31/2018,12/31/2020,2680000
6/30/2021,11/30/2022,47000
5/31/2020,12/31/2020,1269000
1/31/2018,4/30/2018,12033000
1/31/2019,9/30/2020,374000
5/31/2019,8/31/2021,2828000
10/31/2019,10/31/2020,4914000
9/30/2020,4/30/2021,31000
10/31/2019,5/31/2021,5918000
3/31/2021,7/31/2022,68000
9/30/2019,11/30/2019,70000
11/30/2021,1/31/2023,3851000
9/30/2019,4/30/2022,46000
9/30/2018,6/30/2020,153000
3/31/2020,3/31/2022,62000
2/28/2018,6/30/2018,655000
10/31/2018,7/31/2021,135000
7/31/2019,7/31/2022,306000
10/31/2020,5/31/2021,6019000
