,Cohort,R-squared,US Prime Rate P-value,Acc Mgmt Spend P-value
41,2019_11_01,0.5234989874840381,0.13886650984947832,0.0005711796582943996
42,2019_12_01,0.7819151006105178,5.011155108028196e-09,5.054420959937446e-07
43,2020_01_01,0.4638088069159453,0.014459367705259333,0.0003229017758147391
44,2020_02_01,0.3007414691552016,0.05361159559721219,0.00581469362631106
45,2020_03_01,0.629008951299455,2.4297245805402584e-06,8.625146277339832e-05
46,2020_04_01,0.5826483363186965,0.15664600456023875,0.06649389722083802
47,2020_05_01,0.7649243946058017,0.00010956291630727672,0.7332127598901662
48,2020_06_01,0.8354983239556988,0.0003216307688824891,0.03671308798697798
49,2020_07_01,0.224997340044232,0.41255487326053353,0.048619850568465565
50,2020_08_01,0.25885096256020523,0.11303633842410223,0.9729997982579183
51,2020_09_01,0.41320873458373597,0.0005311574886019355,0.002702588313922033
52,2020_10_01,0.5554884842455545,0.0006025810580193184,0.2414446062440257
53,2020_11_01,,,
54,2020_12_01,0.5899423155966965,0.0021751960570093815,1.494923243189249e-05
55,2021_01_01,0.44631491086546415,0.007804944326639972,0.00033955426004717725
56,2021_02_01,0.1878242740044026,0.6975523555272314,0.3393905387598145
57,2021_03_01,0.3508884584157078,0.010448885903432792,0.0018293131281930572
58,2021_04_01,0.5910040823333917,1.2735776918399343e-05,0.00040926883375015075
59,2021_05_01,0.3804269249888822,0.25586463281161975,0.32300310314838887
60,2021_06_01,0.4987382836930889,0.14655111425392828,0.0015163585091580109
61,2021_07_01,0.23436708278498386,0.1153509310193552,0.028588641705424533
62,2021_08_01,0.6084242652604301,5.9631498453438374e-05,0.00015812082319016923
63,2021_09_01,0.24199806898465626,0.5727585715812108,0.4031825684681708
64,2021_10_01,0.49557923531670445,0.18452499159166974,0.3037226947639391
65,2021_11_01,0.2441429495569475,0.044234427371953815,0.08107541376191538
66,2021_12_01,0.20081044752591415,0.14858061111181192,0.08184335192141208
67,2022_01_01,0.11590973849282338,0.2373274158616143,0.23993605679697033
68,2022_02_01,0.13827627482783367,0.6929740867832299,0.2756145968091838
69,2022_03_01,0.41175960428126346,0.14119510878927063,0.7625289464703044
70,2022_04_01,0.11337308839233196,0.2921999812950371,0.38037446992194024
71,2022_05_01,0.5492671187078556,0.024709930187270805,0.9611442865357993
72,2022_06_01,0.26176563650052975,0.16996458470601847,0.8383570594928212
73,2022_07_01,0.03638349972945554,0.6262532666404119,0.7388319681577575
74,2022_08_01,0.33413566336057665,0.29297630814322506,0.7981713571382006
75,2022_09_01,0.2634836031749406,0.649595484355977,0.5588645043767829
76,2022_10_01,0.38636720326169594,0.347663374179329,0.18933509269886767
77,2022_11_01,0.04815159775702982,0.9390171887962298,0.8128412208463052
78,2022_12_01,0.09299290768836344,0.6952579487833601,0.7124887372873889
79,2023_01_01,0.9985816719403614,0.05295845879709731,0.026146806008794755
80,2023_02_01,1.0,,
