CUSTOMER_ID-1,Month,Customer Cohort Month,Grand Total
A00000043,11/30/2019,1/31/2018,1794000
A00000063,10/31/2021,1/31/2018,6138000
A00000109,6/30/2019,1/31/2018,9000
A00000148,9/30/2019,7/31/2018,7755000
A00000289,7/31/2022,12/31/2019,418000
A00000251,1/31/2021,7/31/2019,359000
A00000216,10/31/2019,10/31/2018,1000
A00000254,4/30/2021,3/31/2018,8000
A00000143,5/31/2022,9/30/2018,27000
A00000200,3/31/2023,4/30/2019,78000
A00000306,7/31/2022,11/30/2020,1807000
A00000026,7/31/2021,1/31/2018,4000
A00000088,3/31/2022,1/31/2018,89000
A00000204,4/30/2020,1/31/2019,137000
A00000290,1/31/2021,12/31/2019,93000
A00000049,5/31/2023,2/28/2018,4000
A00001425,11/30/2021,8/31/2021,18000
A00000255,9/30/2022,7/31/2019,370000
A00001584,9/30/2022,7/31/2022,2000
A00000152,11/30/2020,10/31/2018,1000
A00000039,1/31/2021,1/31/2018,1988000
A00000367,3/31/2023,10/31/2020,6000
A00000107,9/30/2021,1/31/2018,11000
A00000196,5/31/2020,3/31/2019,8000
A00000198,6/30/2021,1/31/2019,2000
A00000258,11/30/2019,8/31/2019,87000
A00000268,3/31/2022,10/31/2019,1521000
A00000133,6/30/2019,5/31/2018,6000
A00000183,8/31/2020,12/31/2018,1959000
A00000113,12/31/2021,12/31/2020,1000
A00000109,9/30/2021,1/31/2018,8000
A00000124,7/31/2019,1/31/2018,82000
A00000115,12/31/2018,1/31/2018,1000
A00000142,3/31/2020,2/28/2018,333000
A00000030,3/31/2018,1/31/2018,1000
A00000088,4/30/2021,1/31/2018,87000
A00000109,11/30/2020,1/31/2018,9000
A00002454,5/31/2023,5/31/2023,127000
A00000109,8/31/2019,1/31/2018,10000
A00000242,2/28/2021,5/31/2019,4027000
A00000354,2/28/2021,9/30/2020,34000
A00000116,1/31/2021,10/31/2020,1000
A00000140,10/31/2019,6/30/2018,2380000
A00000257,12/31/2019,8/31/2019,2000
A00000150,12/31/2018,7/31/2018,587000
A00000194,9/30/2020,3/31/2019,2000
A00000190,10/31/2019,10/31/2018,126000
A00001614,2/28/2023,9/30/2022,12000
A00000050,4/30/2022,1/31/2018,11000
A00000041,5/31/2018,1/31/2018,1000
A00000088,2/28/2019,1/31/2018,100000
A00000264,9/30/2019,8/31/2019,2000
A00000199,12/31/2019,2/28/2019,24820000
A00000330,6/30/2020,4/30/2020,1000
A00001542,1/31/2023,4/30/2022,33000
A00000171,4/30/2022,10/31/2018,3000
A00000149,1/31/2019,7/31/2018,386000
A00000193,1/31/2019,1/31/2019,3000
A00000088,4/30/2020,1/31/2018,53000
A00001424,10/31/2021,8/31/2021,5000
A00001483,2/28/2023,1/31/2022,5000
A00000206,10/31/2019,6/30/2018,776000
A00001506,3/31/2022,2/28/2022,11000
A00000044,7/31/2018,1/31/2018,1000
A00000030,1/31/2018,1/31/2018,2000
A00001635,9/30/2022,9/30/2022,1000
A00001532,5/31/2023,4/30/2022,2000
A00000293,2/29/2020,12/31/2019,103000
A00000234,8/31/2019,12/31/2018,2000
A00000042,1/31/2023,3/31/2018,2000
A00000037,7/31/2021,3/31/2018,1000
A00000001,9/30/2022,1/31/2018,3000
A00000036,1/31/2020,1/31/2018,1000
A00001676,11/30/2022,11/30/2022,95000
A00000192,4/30/2020,2/28/2019,15000
A00000143,2/28/2023,9/30/2018,8000
A00001447,1/31/2023,10/31/2021,2000
A00000039,9/30/2018,1/31/2018,804000
A00001436,1/31/2022,9/30/2021,43000
A00000303,5/31/2020,3/31/2020,248000
A00000258,3/31/2021,8/31/2019,1000
A00000375,11/30/2021,12/31/2020,3000
A00000215,2/28/2022,2/28/2019,37000
A00000180,9/30/2019,11/30/2018,219000
A00000410,5/31/2021,3/31/2021,459447000
A00000410,7/31/2021,3/31/2021,161000
A00000026,11/30/2019,1/31/2018,2000
A00001483,1/31/2023,1/31/2022,6000
A00000323,9/30/2022,12/31/2020,14000
A00000038,4/30/2019,1/31/2018,25000
A00000278,3/31/2021,10/31/2019,3461000
A00000119,9/30/2022,3/31/2018,3000
A00000357,9/30/2021,9/30/2020,40000
A00000306,6/30/2021,11/30/2020,236000
A00000082,1/31/2018,1/31/2018,1000
A00000154,8/31/2018,8/31/2018,231000
A00000333,9/30/2020,4/30/2020,299000
A00001529,3/31/2022,3/31/2022,1000
A00000357,4/30/2023,9/30/2020,18000
A00000191,5/31/2021,12/31/2018,749000
A00000298,7/31/2022,2/29/2020,22000
A00000295,12/31/2021,1/31/2020,1000
A00000287,11/30/2019,4/30/2019,1000
A00000239,10/31/2019,3/31/2019,701000
A00000317,9/30/2021,3/31/2020,66000
A00000115,1/31/2021,1/31/2018,2000
A00000192,4/30/2022,2/28/2019,150000
A00000269,11/30/2020,9/30/2019,1000
A00000211,9/30/2021,5/31/2019,3264000
A00001462,3/31/2023,11/30/2021,6000
A00000248,2/29/2020,7/31/2019,52000
A00000044,6/30/2021,1/31/2018,1000
A00001663,2/28/2023,10/31/2022,5000
A00000025,8/31/2019,1/31/2018,6000
A00000083,10/31/2022,3/31/2018,7000
A00001405,8/31/2021,8/31/2021,2000
A00000003,10/31/2019,1/31/2018,1653000
A00000211,2/29/2020,5/31/2019,2302000
A00000234,12/31/2018,12/31/2018,1000
A00000115,4/30/2022,1/31/2018,5000
A00000078,9/30/2019,2/28/2018,1000
A00001443,4/30/2023,10/31/2021,7000
A00000109,7/31/2020,1/31/2018,8000
A00000281,12/31/2020,11/30/2019,17541000
A00000212,12/31/2019,10/31/2019,874000
A00001492,1/31/2022,1/31/2022,2000
A00001462,8/31/2022,11/30/2021,11000
A00000142,6/30/2020,2/28/2018,304000
A00000105,7/31/2020,1/31/2018,1000
A00000107,4/30/2019,1/31/2018,7000
A00000259,11/30/2020,9/30/2019,47000
A00000155,3/31/2019,1/31/2018,4704000
A00001430,7/31/2022,9/30/2021,1000
A00000283,6/30/2021,11/30/2019,2906000
A00000341,12/31/2022,10/31/2020,16261000
A00000192,3/31/2019,2/28/2019,118000
A00000235,5/31/2023,10/31/2018,17000
A00000149,9/30/2020,7/31/2018,60000
A00000201,9/30/2019,5/31/2019,3000
A00000003,6/30/2020,1/31/2018,190000
A00000156,5/31/2022,10/31/2018,1000
A00000183,7/31/2020,12/31/2018,1680000
A00000289,5/31/2020,12/31/2019,16000
A00000107,8/31/2021,1/31/2018,9000
A00000191,1/31/2021,12/31/2018,299000
A00000006,8/31/2019,1/31/2018,333000
A00000065,7/31/2021,3/31/2018,2000
A00000200,3/31/2021,4/30/2019,9000
A00000072,5/31/2020,1/31/2018,121000
A00001443,12/31/2022,10/31/2021,19000
A00001425,9/30/2021,8/31/2021,10000
A00000040,11/30/2021,1/31/2018,2000
A00000192,7/31/2021,2/28/2019,172000
A00000289,12/31/2020,12/31/2019,234000
A00000213,12/31/2019,9/30/2018,9767000
A00001448,1/31/2022,11/30/2021,3000
A00000149,1/31/2020,7/31/2018,84000
A00000030,7/31/2019,1/31/2018,10000
A00000368,9/30/2021,1/31/2021,174000
A00000220,6/30/2020,2/28/2019,20000
A00000245,8/31/2019,6/30/2019,40000
A00000150,6/30/2019,7/31/2018,1761000
A00000327,12/31/2020,4/30/2020,53000
A00000085,8/31/2020,2/28/2018,2000
A00000040,1/31/2023,1/31/2018,4000
A00000211,7/31/2022,5/31/2019,1599000
A00001654,10/31/2022,10/31/2022,2000
A00000096,5/31/2021,1/31/2018,160000
A00000341,12/31/2020,10/31/2020,10833000
A00000194,12/31/2019,3/31/2019,5000
A00000040,3/31/2023,1/31/2018,16000
A00000113,8/31/2022,12/31/2020,2000
A00000198,7/31/2021,1/31/2019,2000
A00000128,12/31/2022,7/31/2018,7629000
A00000220,9/30/2021,2/28/2019,3000
A00000230,6/30/2022,1/31/2018,6400000
A00000150,9/30/2019,7/31/2018,1213000
A00000217,3/31/2021,4/30/2019,82000
A00000198,4/30/2023,1/31/2019,1000
A00000259,5/31/2021,9/30/2019,49000
A00000317,8/31/2020,3/31/2020,190000
A00000127,1/31/2022,4/30/2018,1000
A00000200,5/31/2022,4/30/2019,19000
A00000217,9/30/2021,4/30/2019,259000
A00000248,1/31/2020,7/31/2019,76000
A00000200,1/31/2020,4/30/2019,1000
A00001413,12/31/2021,7/31/2021,8000
A00000040,11/30/2022,1/31/2018,1000
A00000265,10/31/2019,6/30/2019,1862000
A00000244,5/31/2021,4/30/2019,544000
A00000107,1/31/2021,1/31/2018,10000
A00000006,3/31/2021,1/31/2018,326000
A00000002,11/30/2019,1/31/2018,126000
A00000175,4/30/2019,10/31/2018,6000
A00001396,4/30/2022,5/31/2021,71000
A00000197,2/28/2019,2/28/2019,500000
A00000119,6/30/2020,3/31/2018,8000
A00001441,11/30/2022,10/31/2021,3000
A00000278,12/31/2019,10/31/2019,34000
A00000216,12/31/2018,10/31/2018,5000
A00000395,9/30/2022,2/28/2021,1000
A00000026,10/31/2019,1/31/2018,10000
A00001663,4/30/2023,10/31/2022,2000
A00000049,8/31/2019,2/28/2018,2000
A00000001,1/31/2019,1/31/2018,13000
A00001497,3/31/2022,2/28/2022,4000
A00000003,5/31/2018,1/31/2018,2273000
A00000142,3/31/2021,2/28/2018,290000
A00001512,2/28/2023,3/31/2022,2000
A00000230,4/30/2022,1/31/2018,4921000
A00000050,5/31/2022,1/31/2018,11000
A00000107,2/28/2022,1/31/2018,23000
A00000044,7/31/2022,1/31/2018,1000
A00000172,7/31/2020,8/31/2018,1000
A00000202,8/31/2022,4/30/2019,4000
A00000083,3/31/2021,3/31/2018,9000
A00000163,6/30/2022,9/30/2018,3000
A00000115,9/30/2022,1/31/2018,2000
A00000259,8/31/2022,9/30/2019,52000
A00000254,10/31/2018,3/31/2018,2000
A00000283,1/31/2021,11/30/2019,2179000
A00001673,11/30/2022,11/30/2022,29000
A00000339,5/31/2021,6/30/2020,28000
A00000277,9/30/2020,10/31/2019,5000
A00000203,10/31/2020,5/31/2019,2000
A00000115,4/30/2020,1/31/2018,2000
A00000220,12/31/2020,2/28/2019,1000
A00000378,2/28/2021,12/31/2020,2000
A00000150,12/31/2019,7/31/2018,1798000
A00000037,10/31/2021,3/31/2018,1000
A00000194,2/28/2021,3/31/2019,5000
A00000149,11/30/2019,7/31/2018,41000
A00000030,2/28/2019,1/31/2018,9000
A00000049,4/30/2021,2/28/2018,1000
A00000036,2/28/2022,1/31/2018,11000
A00000192,6/30/2019,2/28/2019,161000
A00000200,10/31/2021,4/30/2019,21000
A00000088,9/30/2020,1/31/2018,72000
A00000039,6/30/2019,1/31/2018,2119000
A00000039,4/30/2018,1/31/2018,262000
A00000305,4/30/2023,7/31/2020,70000
A00000172,8/31/2019,8/31/2018,38000
A00000170,9/30/2019,8/31/2018,2000
A00001507,12/31/2022,2/28/2022,23000
A00000154,8/31/2019,8/31/2018,667000
A00001416,1/31/2022,6/30/2021,184000
A00000094,3/31/2023,1/31/2018,92000
A00000143,11/30/2019,9/30/2018,10000
A00000317,4/30/2022,3/31/2020,41000
A00000003,12/31/2018,1/31/2018,1329000
A00000200,1/31/2021,4/30/2019,9000
A00000001,10/31/2018,1/31/2018,5000
A00000063,4/30/2022,1/31/2018,8765000
A00000140,6/30/2020,6/30/2018,1383000
A00000242,12/31/2020,5/31/2019,5007000
A00000183,5/31/2020,12/31/2018,739000
A00000138,12/31/2019,6/30/2018,9000
A00000042,7/31/2019,3/31/2018,1000
A00000146,2/28/2019,7/31/2018,1000
A00000350,7/31/2020,7/31/2020,18000
A00000215,8/31/2021,2/28/2019,113000
A00000142,1/31/2023,2/28/2018,277000
A00000310,6/30/2021,2/29/2020,1000
A00000268,9/30/2020,10/31/2019,381000
A00000143,12/31/2019,9/30/2018,8000
A00001419,10/31/2021,7/31/2021,249000
A00001501,12/31/2022,2/28/2022,7000
A00001441,3/31/2023,10/31/2021,5000
A00001540,5/31/2023,5/31/2022,6000
A00000160,10/31/2018,8/31/2018,270000
A00001452,3/31/2023,3/31/2022,205000
A00000320,5/31/2023,6/30/2020,1000
A00000235,12/31/2020,10/31/2018,31000
A00000306,10/31/2022,11/30/2020,437000
A00000294,6/30/2020,1/31/2020,44000
A00000226,5/31/2020,10/31/2018,2000
A00000290,8/31/2020,12/31/2019,3000
A00000109,6/30/2018,1/31/2018,7000
A00000127,4/30/2018,4/30/2018,3000
A00000149,3/31/2019,7/31/2018,256000
A00000305,2/28/2023,7/31/2020,128000
A00000133,5/31/2018,5/31/2018,2000
A00000067,7/31/2022,3/31/2018,2000
A00000339,8/31/2020,6/30/2020,2000
A00000268,5/31/2021,10/31/2019,693000
A00000050,10/31/2018,1/31/2018,2000
A00000278,11/30/2019,10/31/2019,506000
A00000092,6/30/2020,11/30/2019,2000
A00000115,6/30/2022,1/31/2018,5000
A00000420,9/30/2021,4/30/2021,290000
A00001663,5/31/2023,10/31/2022,2000
A00000327,10/31/2021,4/30/2020,686000
A00000115,3/31/2019,1/31/2018,4000
A00000259,7/31/2022,9/30/2019,39000
A00000317,4/30/2023,3/31/2020,24000
