Customer Cohort Month,Month,Volume
3/31/2019,12/31/2022,1611000
12/31/2018,12/31/2022,6836000
1/31/2022,10/31/2022,2526000
4/30/2020,4/30/2021,341960000
3/31/2020,12/31/2022,270000
6/30/2022,4/30/2023,80000
3/31/2022,10/31/2022,175000
9/30/2020,5/31/2022,4850000
12/31/2020,5/31/2022,4029000
10/31/2019,10/31/2022,2574000
12/31/2018,3/31/2023,1143000
7/31/2022,11/30/2022,206000
4/30/2022,10/31/2022,83139000
11/30/2020,6/30/2021,147000
10/31/2018,6/30/2022,2349000
11/30/2019,5/31/2022,304000
2/28/2021,9/30/2022,34000
6/30/2018,4/30/2021,1476000
6/30/2021,9/30/2021,394000
8/31/2018,2/28/2022,252000
8/31/2018,4/30/2023,88000
3/31/2021,5/31/2022,5815000
4/30/2021,1/31/2023,186000
3/31/2022,8/31/2022,238000
1/31/2018,4/30/2022,6291000
4/30/2022,2/28/2023,47442000
12/31/2021,5/31/2023,3000
2/28/2021,1/31/2023,15000
8/31/2019,11/30/2022,789000
6/30/2018,7/31/2021,1574000
1/31/2019,2/28/2022,7000
8/31/2018,7/31/2021,77000
12/31/2020,2/28/2022,3653000
2/29/2020,8/31/2021,230000
8/31/2021,8/31/2022,6306000
4/30/2020,8/31/2021,216905000
5/31/2020,3/31/2021,6000
12/31/2018,4/30/2021,2863000
7/31/2018,9/30/2021,11554000
3/31/2022,1/31/2023,139000
6/30/2020,12/31/2021,2682000
7/31/2018,12/31/2022,27399000
3/31/2021,10/31/2021,3272000
2/28/2021,6/30/2022,202000
6/30/2020,9/30/2022,1683000
7/31/2018,1/31/2023,27005000
12/31/2019,6/30/2021,22000
4/30/2019,1/31/2023,2398000
3/31/2022,2/28/2023,87000
2/28/2022,7/31/2022,1341000
5/31/2021,1/31/2023,2317000
5/31/2021,10/31/2021,1023000
3/31/2020,10/31/2022,276000
8/31/2021,2/28/2023,3019000
10/31/2018,8/31/2022,2496000
11/30/2018,6/30/2021,1162000
12/31/2022,4/30/2023,73000
6/30/2021,11/30/2022,2270000
5/31/2019,8/31/2021,5318000
9/30/2020,4/30/2021,173000
10/31/2019,5/31/2021,623000
3/31/2021,7/31/2022,4945000
3/31/2020,3/31/2022,766000
10/31/2018,7/31/2021,996000
7/31/2019,7/31/2022,904000
2/28/2019,3/31/2023,6131000
11/30/2018,5/31/2021,1018000
5/31/2021,9/30/2021,1077000
1/31/2021,12/31/2022,1917000
5/31/2022,11/30/2022,166000
8/31/2019,6/30/2021,324000
4/30/2019,11/30/2022,5449000
7/31/2019,1/31/2022,1007000
4/30/2020,10/31/2021,328543000
7/31/2018,8/31/2022,27833000
6/30/2018,6/30/2022,5138000
8/31/2021,12/31/2022,2660000
4/30/2021,12/31/2021,1000
12/31/2018,11/30/2022,6078000
5/31/2019,5/31/2023,6292000
4/30/2020,9/30/2022,178026000
3/31/2020,4/30/2021,1016000
7/31/2020,9/30/2021,531000
5/31/2022,5/31/2023,157000
12/31/2019,5/31/2021,39000
11/30/2020,4/30/2022,295000
3/31/2019,2/28/2023,320000
7/31/2020,3/31/2023,205000
7/31/2022,9/30/2022,203000
5/31/2021,10/31/2022,2074000
11/30/2022,3/31/2023,544000
4/30/2019,3/31/2022,3977000
1/31/2022,8/31/2022,2778000
12/31/2019,5/31/2023,396000
10/31/2021,5/31/2023,6516000
5/31/2021,1/31/2022,1152000
11/30/2019,8/31/2022,419000
1/31/2019,6/30/2022,316000
9/30/2018,2/28/2023,150000
7/31/2018,4/30/2022,20907000
12/31/2022,3/31/2023,2000
1/31/2022,1/31/2023,2280000
12/31/2018,1/31/2023,1324000
5/31/2020,4/30/2021,1000
9/30/2018,8/31/2022,134000
4/30/2020,1/31/2022,293141000
4/30/2019,11/30/2021,538000
4/30/2019,2/28/2023,2976000
4/30/2021,10/31/2021,3000
6/30/2018,10/31/2021,2947000
2/28/2022,1/31/2023,173000
4/30/2019,5/31/2022,3084000
6/30/2020,6/30/2022,1504000
2/29/2020,12/31/2021,342000
11/30/2020,1/31/2023,210000
2/28/2021,5/31/2021,93000
8/31/2022,9/30/2022,275000
11/30/2021,7/31/2022,6840000
3/31/2021,6/30/2022,5762000
7/31/2020,11/30/2021,600000
3/31/2019,11/30/2022,1622000
12/31/2021,5/31/2022,228000
4/30/2022,6/30/2022,72439000
2/29/2020,4/30/2023,612000
12/31/2018,2/28/2023,1104000
1/31/2019,9/30/2022,4000
2/28/2022,4/30/2022,917000
7/31/2019,5/31/2023,1124000
8/31/2019,9/30/2022,524000
6/30/2021,6/30/2021,191000
6/30/2018,9/30/2022,5510000
2/28/2022,10/31/2022,594000
4/30/2020,7/31/2022,127899000
1/31/2022,5/31/2022,1272000
11/30/2021,12/31/2021,11000
7/31/2019,5/31/2021,453000
7/31/2020,5/31/2022,540000
8/31/2021,11/30/2021,4725000
8/31/2018,1/31/2023,621000
12/31/2020,11/30/2022,4325000
7/31/2021,11/30/2021,72000
7/31/2022,1/31/2023,232000
7/31/2020,4/30/2022,548000
7/31/2021,9/30/2021,60000
9/30/2019,5/31/2023,36000
3/31/2018,11/30/2022,9000
7/31/2018,8/31/2021,11356000
8/31/2022,2/28/2023,292000
11/30/2020,10/31/2022,345000
9/30/2018,11/30/2021,148000
